Sample_Id,Sim_Id,AgeBin,Result
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000020,667c002e-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,63.133
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000021,677c002e-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.285
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000022,687c002e-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.696999999999996
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000023,697c002e-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,62.213
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000024,6a7c002e-12b8-e911-a2c1-c4346bcb1555,60.0-200.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000025,6b7c002e-12b8-e911-a2c1-c4346bcb1555,0.0-1.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000025,6b7c002e-12b8-e911-a2c1-c4346bcb1555,1.0-3.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000025,6b7c002e-12b8-e911-a2c1-c4346bcb1555,10.0-20.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000025,6b7c002e-12b8-e911-a2c1-c4346bcb1555,20.0-40.0,61.897
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000025,6b7c002e-12b8-e911-a2c1-c4346bcb1555,3.0-5.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000025,6b7c002e-12b8-e911-a2c1-c4346bcb1555,40.0-60.0,
8435ba1a-12b8-e911-a2c1-c4346bcb1555.000025,6b7c002e-12b8-e911-a2c1-c4346bcb1555,5.0-10.0,
